Web Search interest: ebola
United States; South Africa
Past 90 days

Interest over time
Day,United States,South Africa
2014-07-30,13,21
2014-07-31,16,26
2014-08-01,26,28
2014-08-02,31,23
2014-08-03,22,22
2014-08-04,21,24
2014-08-05,26,28
2014-08-06,20,32
2014-08-07,15,41
2014-08-08,15,53
2014-08-09,11,37
2014-08-10,8,31
2014-08-11,7,34
2014-08-12,6,37
2014-08-13,5,40
2014-08-14,5,48
2014-08-15,5,48
2014-08-16,4,38
2014-08-17,4,43
2014-08-18,5,58
2014-08-19,4,42
2014-08-20,7,32
2014-08-21,7,38
2014-08-22,5,31
2014-08-23,3,25
2014-08-24,3,23
2014-08-25,3,20
2014-08-26,3,18
2014-08-27,3,20
2014-08-28,3,18
2014-08-29,3,19
2014-08-30,3,15
2014-08-31,2,16
2014-09-01,2,15
2014-09-02,3,14
2014-09-03,4,16
2014-09-04,3,16
2014-09-05,4,15
2014-09-06,3,12
2014-09-07,2,12
2014-09-08,3,9
2014-09-09,3,11
2014-09-10,3,12
2014-09-11,3,9
2014-09-12,3,12
2014-09-13,2,9
2014-09-14,2,10
2014-09-15,3,8
2014-09-16,5,9
2014-09-17,4,12
2014-09-18,3,9
2014-09-19,4,9
2014-09-20,3,8
2014-09-21,2,9
2014-09-22,3,7
2014-09-23,4,11
2014-09-24,4,10
2014-09-25,4,11
2014-09-26,3,8
2014-09-27,3,8
2014-09-28,5,8
2014-09-29,4,7
2014-09-30,29,7
2014-10-01,53,13
2014-10-02,66,13
2014-10-03,63,16
2014-10-04,48,12
2014-10-05,41,13
2014-10-06,41,15
2014-10-07,34,18
2014-10-08,55,23
2014-10-09,56,33
2014-10-10,40,29
2014-10-11,28,25
2014-10-12,45,26
2014-10-13,51,25
2014-10-14,55,25
2014-10-15,91,26
2014-10-16,100,29
2014-10-17,82,25
2014-10-18,51,20
2014-10-19,37,19
2014-10-20,34,18
2014-10-21,34,15
2014-10-22,26,14
2014-10-23,22,14
2014-10-24,51,21
2014-10-25,23,17
2014-10-26,19,16
2014-10-27,24,14
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for South Africa
Subregion,South Africa
Limpopo,100
Gauteng,79
Free State,72
North West,69
Eastern Cape,68
KwaZulu-Natal,61
Western Cape,54
Mpumalanga,0
Northern Cape,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for South Africa
City,South Africa
Centurion,100
Johannesburg,100
Polokwane,96
Sandton,82
Bloemfontein,80
Berea,77
Randburg,77
Pretoria,75
Roodepoort,75
Pietermaritzburg,68
Midrand,67
Cape Town,65
Kempton Park,64
Port Elizabeth,63
Boksburg,62



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for South Africa
virus ebola,100
ebola south africa,35
symptoms ebola,30
ebola in africa,30
what is ebola,25
ebola outbreak,20
ebola news,15
ebola disease,15
symptoms of ebola,10
ebola pictures,10
ebola 2014,10
ebola causes,10
ebola virus symptoms,10
nigeria ebola,10
ebola latest,10
the ebola virus,10
who ebola,5
what causes ebola,5
ebola cure,5
latest news,5
ebola latest news,5
ebola in nigeria,5
pictures of ebola,5
about ebola,5
ebola sa,5
ebola virus pictures,5
ebola images,5
ebola countries,5
ebola virus outbreak,5
ebola zimbabwe,5
ebola map,5
ebola spread,5
causes of ebola,5
ebola pics,5
ebola update,5
latest on ebola,5
ebola cape town,5
ebola virus news,5
ebola victims,5
ebola cases,5
ebola in sa,5
cure for ebola,5
people with ebola,5
ebola johannesburg,5
ebola in zimbabwe,5
ebola virus 2014,5
ibola,5
news on ebola,0
ebola outbreak 2014,0
ebola west africa,0



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for South Africa
ebola latest,Breakout
ebola in africa,+300%
ebola south africa,+300%
ebola news,+250%
ebola pictures,+250%
symptoms of ebola,+250%
ebola causes,+190%
symptoms ebola,+150%
ebola 2014,+130%
ebola virus symptoms,+110%



