Web Search interest: ebola
United States; South Georgia & South Sandwich Islands
Past 90 days

Interest over time
Day,United States,South Georgia & South Sandwich Islands
2014-07-30,13,0
2014-07-31,16,0
2014-08-01,26,0
2014-08-02,31,0
2014-08-03,22,0
2014-08-04,21,0
2014-08-05,26,0
2014-08-06,20,0
2014-08-07,15,0
2014-08-08,15,0
2014-08-09,11,0
2014-08-10,8,0
2014-08-11,7,0
2014-08-12,6,0
2014-08-13,5,0
2014-08-14,5,0
2014-08-15,5,0
2014-08-16,4,0
2014-08-17,4,0
2014-08-18,5,0
2014-08-19,4,0
2014-08-20,7,0
2014-08-21,7,0
2014-08-22,5,0
2014-08-23,3,0
2014-08-24,3,0
2014-08-25,3,0
2014-08-26,3,0
2014-08-27,3,0
2014-08-28,3,0
2014-08-29,3,0
2014-08-30,3,0
2014-08-31,2,0
2014-09-01,2,0
2014-09-02,3,0
2014-09-03,4,0
2014-09-04,3,0
2014-09-05,4,0
2014-09-06,3,0
2014-09-07,2,0
2014-09-08,3,0
2014-09-09,3,0
2014-09-10,3,0
2014-09-11,3,0
2014-09-12,3,0
2014-09-13,2,0
2014-09-14,2,0
2014-09-15,3,0
2014-09-16,5,0
2014-09-17,4,0
2014-09-18,3,0
2014-09-19,4,0
2014-09-20,3,0
2014-09-21,2,0
2014-09-22,3,0
2014-09-23,4,0
2014-09-24,4,0
2014-09-25,4,0
2014-09-26,3,0
2014-09-27,3,0
2014-09-28,5,0
2014-09-29,4,0
2014-09-30,29,0
2014-10-01,53,0
2014-10-02,66,0
2014-10-03,63,0
2014-10-04,48,0
2014-10-05,41,0
2014-10-06,41,0
2014-10-07,34,0
2014-10-08,55,0
2014-10-09,56,0
2014-10-10,40,0
2014-10-11,28,0
2014-10-12,45,0
2014-10-13,51,0
2014-10-14,55,0
2014-10-15,91,0
2014-10-16,100,0
2014-10-17,82,0
2014-10-18,51,0
2014-10-19,37,0
2014-10-20,34,0
2014-10-21,34,0
2014-10-22,26,0
2014-10-23,22,0
2014-10-24,51,0
2014-10-25,23,0
2014-10-26,19,0
2014-10-27,24,0
2014-10-28, , 
2014-10-29, , 


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5




Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%




