Web Search interest: ebola
United States; Venezuela
Past 90 days

Interest over time
Day,United States,Venezuela
2014-07-30,13,3
2014-07-31,16,4
2014-08-01,26,8
2014-08-02,31,10
2014-08-03,22,12
2014-08-04,21,8
2014-08-05,26,10
2014-08-06,20,16
2014-08-07,15,18
2014-08-08,15,21
2014-08-09,11,18
2014-08-10,8,12
2014-08-11,7,13
2014-08-12,6,20
2014-08-13,5,17
2014-08-14,5,11
2014-08-15,5,10
2014-08-16,4,24
2014-08-17,4,22
2014-08-18,5,17
2014-08-19,4,11
2014-08-20,7,9
2014-08-21,7,7
2014-08-22,5,6
2014-08-23,3,7
2014-08-24,3,5
2014-08-25,3,5
2014-08-26,3,3
2014-08-27,3,4
2014-08-28,3,4
2014-08-29,3,4
2014-08-30,3,3
2014-08-31,2,3
2014-09-01,2,2
2014-09-02,3,3
2014-09-03,4,4
2014-09-04,3,2
2014-09-05,4,2
2014-09-06,3,2
2014-09-07,2,2
2014-09-08,3,2
2014-09-09,3,2
2014-09-10,3,3
2014-09-11,3,31
2014-09-12,3,34
2014-09-13,2,13
2014-09-14,2,10
2014-09-15,3,13
2014-09-16,5,14
2014-09-17,4,14
2014-09-18,3,11
2014-09-19,4,9
2014-09-20,3,7
2014-09-21,2,6
2014-09-22,3,6
2014-09-23,4,6
2014-09-24,4,5
2014-09-25,4,7
2014-09-26,3,6
2014-09-27,3,5
2014-09-28,5,6
2014-09-29,4,5
2014-09-30,29,9
2014-10-01,53,18
2014-10-02,66,13
2014-10-03,63,13
2014-10-04,48,13
2014-10-05,41,12
2014-10-06,41,15
2014-10-07,34,24
2014-10-08,55,30
2014-10-09,56,45
2014-10-10,40,49
2014-10-11,28,48
2014-10-12,45,41
2014-10-13,51,42
2014-10-14,55,46
2014-10-15,91,43
2014-10-16,100,39
2014-10-17,82,34
2014-10-18,51,28
2014-10-19,37,23
2014-10-20,34,26
2014-10-21,34,24
2014-10-22,26,20
2014-10-23,22,16
2014-10-24,51,18
2014-10-25,23,14
2014-10-26,19,15
2014-10-27,24,14
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34

Top subregions for Venezuela
Subregion,Venezuela
Monagas,100
Nueva Esparta,89
Anzoátegui,66
Zulia,64
Carabobo,63
Aragua,61
Mérida,59
Caracas Metropolitan District,58
Táchira,55
Bolívar,51
Lara,50
Apure,0
Barinas,0
Cojedes,0
Falcón,0
Guárico,0
Miranda,0
Portuguesa,0
Sucre,0
Trujillo,0
