Web Search interest: ebola
United States; Zambia
Past 90 days

Interest over time
Day,United States,Zambia
2014-07-30,10,20
2014-07-31,12,35
2014-08-01,20,38
2014-08-02,25,42
2014-08-03,18,26
2014-08-04,17,47
2014-08-05,21,36
2014-08-06,16,64
2014-08-07,12,55
2014-08-08,12,66
2014-08-09,9,100
2014-08-10,7,59
2014-08-11,5,59
2014-08-12,5,75
2014-08-13,4,65
2014-08-14,4,75
2014-08-15,4,79
2014-08-16,3,40
2014-08-17,4,77
2014-08-18,4,80
2014-08-19,4,54
2014-08-20,5,58
2014-08-21,5,61
2014-08-22,4,42
2014-08-23,3,48
2014-08-24,2,58
2014-08-25,2,82
2014-08-26,2,49
2014-08-27,2,56
2014-08-28,3,44
2014-08-29,3,54
2014-08-30,2,63
2014-08-31,2,68
2014-09-01,2,37
2014-09-02,2,34
2014-09-03,3,39
2014-09-04,3,32
2014-09-05,3,45
2014-09-06,3,67
2014-09-07,2,59
2014-09-08,2,48
2014-09-09,3,20
2014-09-10,2,34
2014-09-11,2,24
2014-09-12,2,31
2014-09-13,2,25
2014-09-14,2,25
2014-09-15,2,31
2014-09-16,4,25
2014-09-17,3,26
2014-09-18,3,19
2014-09-19,3,19
2014-09-20,2,27
2014-09-21,2,35
2014-09-22,2,43
2014-09-23,3,52
2014-09-24,3,68
2014-09-25,3,37
2014-09-26,3,29
2014-09-27,2,29
2014-09-28,4,24
2014-09-29,4,24
2014-09-30,23,21
2014-10-01,42,32
2014-10-02,52,23
2014-10-03,50,18
2014-10-04,38,18
2014-10-05,33,18
2014-10-06,33,18
2014-10-07,27,42
2014-10-08,44,34
2014-10-09,45,42
2014-10-10,32,40
2014-10-11,22,27
2014-10-12,36,29
2014-10-13,41,30
2014-10-14,44,41
2014-10-15,72,40
2014-10-16,80,40
2014-10-17,65,47
2014-10-18,41,32
2014-10-19,29,37
2014-10-20,27,18
2014-10-21,27,22
2014-10-22,21,20
2014-10-23,17,20
2014-10-24,41,0
2014-10-25,18,0
2014-10-26,16,0
2014-10-27,19,0
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34

Top subregions for Zambia
Subregion,Zambia
Lusaka,100
Copperbelt,81
Western,0
Central,0
Eastern,0
Luapula,0
Northern,0
North-Western,0
Southern,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,70
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Chicago,48
Atlanta,48

Top cities for Zambia
City,Zambia
Lusaka,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Zambia
ebola virus,100
ebola zambia,60
ebola in zambia,45
ebola news,35



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Zambia
ebola in zambia,Breakout
ebola zambia,Breakout



