Web Search interest: ebola
United States; Zimbabwe
Past 90 days

Interest over time
Day,United States,Zimbabwe
2014-07-30,9,0
2014-07-31,11,14
2014-08-01,18,15
2014-08-02,22,15
2014-08-03,16,16
2014-08-04,15,14
2014-08-05,18,17
2014-08-06,14,19
2014-08-07,10,28
2014-08-08,10,34
2014-08-09,7,18
2014-08-10,6,16
2014-08-11,5,44
2014-08-12,4,31
2014-08-13,4,46
2014-08-14,3,26
2014-08-15,3,41
2014-08-16,3,34
2014-08-17,3,20
2014-08-18,3,36
2014-08-19,3,26
2014-08-20,5,29
2014-08-21,5,17
2014-08-22,3,22
2014-08-23,2,21
2014-08-24,2,24
2014-08-25,2,16
2014-08-26,2,20
2014-08-27,2,22
2014-08-28,2,38
2014-08-29,2,35
2014-08-30,2,18
2014-08-31,2,13
2014-09-01,1,37
2014-09-02,2,36
2014-09-03,3,21
2014-09-04,2,19
2014-09-05,3,22
2014-09-06,2,15
2014-09-07,2,22
2014-09-08,2,19
2014-09-09,2,23
2014-09-10,2,33
2014-09-11,2,19
2014-09-12,2,29
2014-09-13,2,19
2014-09-14,2,21
2014-09-15,2,23
2014-09-16,3,15
2014-09-17,3,50
2014-09-18,2,100
2014-09-19,3,65
2014-09-20,2,29
2014-09-21,2,29
2014-09-22,2,33
2014-09-23,3,37
2014-09-24,3,47
2014-09-25,3,28
2014-09-26,2,28
2014-09-27,2,29
2014-09-28,4,30
2014-09-29,3,19
2014-09-30,20,19
2014-10-01,37,14
2014-10-02,46,25
2014-10-03,44,48
2014-10-04,33,43
2014-10-05,28,28
2014-10-06,29,26
2014-10-07,23,25
2014-10-08,38,28
2014-10-09,39,62
2014-10-10,28,69
2014-10-11,19,37
2014-10-12,32,31
2014-10-13,36,49
2014-10-14,38,35
2014-10-15,63,33
2014-10-16,70,34
2014-10-17,57,31
2014-10-18,36,25
2014-10-19,25,35
2014-10-20,24,24
2014-10-21,24,17
2014-10-22,18,24
2014-10-23,15,19
2014-10-24,36,19
2014-10-25,16,17
2014-10-26,14,21
2014-10-27,16,14
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34

Top subregions for Zimbabwe
Subregion,Zimbabwe
Harare,100
Bulawayo,95
Manicaland,0
Mashonaland Central,0
Mashonaland East,0
Midlands,0
Matabeleland North,0
Matabeleland South,0
Masvingo,0
Mashonaland West,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,70
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Chicago,48
Atlanta,48

Top cities for Zimbabwe
City,Zimbabwe
Harare,100
Bulawayo,90



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Zimbabwe
zimbabwe ebola,100
ebola in zimbabwe,65
ebola virus,60
ebola news,25



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Zimbabwe
ebola in zimbabwe,Breakout
ebola news,Breakout
ebola symptoms,Breakout
ebola virus,Breakout
zimbabwe ebola,Breakout



