Web Search interest: ebola
United States; Spain
Past 90 days

Interest over time
Day,United States,Spain
2014-07-30,8,2
2014-07-31,10,3
2014-08-01,16,4
2014-08-02,19,7
2014-08-03,14,7
2014-08-04,13,6
2014-08-05,17,12
2014-08-06,12,27
2014-08-07,9,35
2014-08-08,9,20
2014-08-09,7,15
2014-08-10,5,9
2014-08-11,4,7
2014-08-12,4,18
2014-08-13,3,7
2014-08-14,3,5
2014-08-15,3,5
2014-08-16,2,10
2014-08-17,3,22
2014-08-18,3,7
2014-08-19,3,6
2014-08-20,4,3
2014-08-21,4,3
2014-08-22,3,4
2014-08-23,2,4
2014-08-24,2,2
2014-08-25,2,2
2014-08-26,2,2
2014-08-27,2,2
2014-08-28,2,3
2014-08-29,2,2
2014-08-30,2,2
2014-08-31,1,2
2014-09-01,1,2
2014-09-02,2,2
2014-09-03,3,1
2014-09-04,2,1
2014-09-05,3,1
2014-09-06,2,1
2014-09-07,2,1
2014-09-08,2,1
2014-09-09,2,1
2014-09-10,2,2
2014-09-11,2,3
2014-09-12,2,3
2014-09-13,1,1
2014-09-14,1,2
2014-09-15,2,1
2014-09-16,3,1
2014-09-17,3,2
2014-09-18,2,2
2014-09-19,3,1
2014-09-20,2,2
2014-09-21,1,3
2014-09-22,2,3
2014-09-23,3,2
2014-09-24,2,2
2014-09-25,3,2
2014-09-26,2,2
2014-09-27,2,1
2014-09-28,3,1
2014-09-29,3,1
2014-09-30,18,1
2014-10-01,33,3
2014-10-02,41,3
2014-10-03,39,3
2014-10-04,30,2
2014-10-05,26,2
2014-10-06,26,45
2014-10-07,21,100
2014-10-08,34,100
2014-10-09,35,96
2014-10-10,25,81
2014-10-11,17,52
2014-10-12,28,35
2014-10-13,32,26
2014-10-14,34,19
2014-10-15,57,16
2014-10-16,62,28
2014-10-17,51,19
2014-10-18,32,11
2014-10-19,23,11
2014-10-20,21,9
2014-10-21,21,7
2014-10-22,16,5
2014-10-23,13,4
2014-10-24,32,4
2014-10-25,14,4
2014-10-26,12,3
2014-10-27,15,3
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Spain
Subregion,Spain
Community of Madrid,100
Castile-La Mancha,77
Extremadura,74
La Rioja,74
Cantabria,74
Canary Islands,72
Castile and León,71
Region of Murcia,70
Principality of Asturias,68
Navarre,66
Aragon,66
Catalonia,64
Galicia,64
Valencian Community,63
Andalusia,62
Basque Country,60
Balearic Islands,55
Ceuta,0
Melilla,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Spain
City,Spain
Boadilla del Monte,100
Pozuelo,72
Madrid,64
Alcobendas,64
Alcorcón,63
Toledo,57
Santa Cruz,50
Salamanca,49
Albacete,48
Almería,47
Burgos,46
Ciudad Real,46
Oviedo,43
Santiago,43
Valladolid,43



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Spain
el ebola,100
españa ebola,80
ebola en españa,55
la ebola,45
ebola noticias,35
noticias,35
ebola sintomas,30
virus,30
virus ebola,30
ebola madrid,30
teresa ebola,25
teresa,25
enfermera ebola,25
ebola ultimas noticias,20
ultimas noticias,20
caso ebola,15
sintomas del ebola,15
contagio ebola,15
que es ebola,10
ebola 2014,10
ebola el pais,10
caso de ebola,10
el mundo ebola,10
ebola en madrid,10
perro ebola,10
teresa romero,10
teresa romero ebola,10
cura ebola,10
africa,10
ebola africa,10
virus del ebola,10
noticias ebola españa,5
ebola barcelona,5
alicante ebola,5
sintomas de ebola,5
ebola enfermedad,5
