Web Search interest: ebola
United States; St. Vincent & Grenadines
Past 90 days

Interest over time
Day,United States
2014-07-30,9
2014-07-31,11
2014-08-01,19
2014-08-02,23
2014-08-03,16
2014-08-04,16
2014-08-05,19
2014-08-06,14
2014-08-07,11
2014-08-08,11
2014-08-09,8
2014-08-10,6
2014-08-11,5
2014-08-12,4
2014-08-13,4
2014-08-14,3
2014-08-15,3
2014-08-16,3
2014-08-17,3
2014-08-18,4
2014-08-19,3
2014-08-20,5
2014-08-21,5
2014-08-22,3
2014-08-23,2
2014-08-24,2
2014-08-25,2
2014-08-26,2
2014-08-27,2
2014-08-28,2
2014-08-29,2
2014-08-30,2
2014-08-31,2
2014-09-01,2
2014-09-02,2
2014-09-03,3
2014-09-04,3
2014-09-05,3
2014-09-06,2
2014-09-07,2
2014-09-08,2
2014-09-09,3
2014-09-10,2
2014-09-11,2
2014-09-12,2
2014-09-13,2
2014-09-14,2
2014-09-15,2
2014-09-16,3
2014-09-17,3
2014-09-18,3
2014-09-19,3
2014-09-20,2
2014-09-21,2
2014-09-22,2
2014-09-23,3
2014-09-24,3
2014-09-25,3
2014-09-26,3
2014-09-27,2
2014-09-28,4
2014-09-29,3
2014-09-30,22
2014-10-01,39
2014-10-02,48
2014-10-03,46
2014-10-04,35
2014-10-05,30
2014-10-06,30
2014-10-07,25
2014-10-08,40
2014-10-09,41
2014-10-10,30
2014-10-11,20
2014-10-12,33
2014-10-13,37
2014-10-14,40
2014-10-15,66
2014-10-16,73
2014-10-17,60
2014-10-18,38
2014-10-19,27
2014-10-20,25
2014-10-21,25
2014-10-22,19
2014-10-23,16
2014-10-24,38
2014-10-25,17
2014-10-26,14
2014-10-27,17
2014-10-28, 
2014-10-29, 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for St. Vincent & Grenadines
Subregion,St. Vincent & Grenadines
Saint George,100
Charlotte,0
Saint Andrew,0
Saint David,0
Saint Patrick,0
Grenadines,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for St. Vincent & Grenadines
City,St. Vincent & Grenadines
Kingstown,100
Richmond Vale,91



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5




Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%




