Date,Guinea,Liberia,Sierra Leone,Spain,United States,Senegal,Nigeria,Mali
3/16/2014,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
3/22/2014,49/29,0/0,0/0,0/0,0/0,0/0,0/0,0/0
3/30/2014,49/29,7/2,0/0,0/0,0/0,0/0,0/0,0/0
4/1/2014,122/80,8/2,0/0,0/0,0/0,0/0,0/0,0/0
4/2/2014,127/83,8/5,2/2,0/0,0/0,0/0,0/0,0/0
4/5/2014,143/86,18/7,2/2,0/0,0/0,0/0,0/0,0/0
4/7/2014,151/95,21/10,2/2,0/0,0/0,0/0,0/0,0/0
4/10/2014,158/101,25/12,2/2,0/0,0/0,0/0,0/0,0/0
4/14/2014,168/108,26/13,2/2,0/0,0/0,0/0,0/0,0/0
4/17/2014,197/122,27/13,12/2,0/0,0/0,0/0,0/0,0/0
4/19/2014,203/129,27/13,12/2,0/0,0/0,0/0,0/0,0/0
4/22/2014,208/136,34/11,2/2,0/0,0/0,0/0,0/0,0/0
4/25/2014,218/141,35/11,5/2,0/0,0/0,0/0,0/0,0/0
4/28/2014,224/143,35/11,5/2,0/0,0/0,0/0,0/0,0/0
5/2/2014,226/149,13/11,5/2,0/0,0/0,0/0,0/0,0/0
5/6/2014,231/155,13/11,0/0,0/0,0/0,0/0,0/0,0/0
5/8/2014,235/157,13/11,0/0,0/0,0/0,0/0,0/0,0/0
5/12/2014,233/157,12/11,0/0,0/0,0/0,0/0,0/0,0/0
5/15/2014,248/171,12/11,0/0,0/0,0/0,0/0,0/0,0/0
5/24/2014,258/174,12/11,0/0,0/0,0/0,0/0,0/0,0/0
5/28/2014,281/186,12/11,16/5,0/0,0/0,0/0,0/0,0/0
5/30/2014,291/193,12/12,50/6,0/0,0/0,0/0,0/0,0/0
6/4/2014,328/208,13/13,79/6,0/0,0/0,0/0,0/0,0/0
6/6/2014,344/215,13/13,81/6,0/0,0/0,0/0,0/0,0/0
6/10/2014,351/226,13/13,89/7,0/0,0/0,0/0,0/0,0/0
6/18/2014,398/264,33/24,97/49,0/0,0/0,0/0,0/0,0/0
6/22/2014,390/267,41/25,136/55,0/0,0/0,0/0,0/0,0/0
6/24/2014,390/270,51/34,158/34,0/0,0/0,0/0,0/0,0/0
7/1/2014,413/303,107/65,239/99,0/0,0/0,0/0,0/0,0/0
7/3/2014,412/305,115/75,252/101,0/0,0/0,0/0,0/0,0/0
7/8/2014,408/307,131/84,305/127,0/0,0/0,0/0,0/0,0/0
7/10/2014,409/309,142/88,337/142,0/0,0/0,0/0,0/0,0/0
7/15/2014,406/304,172/105,386/194,0/0,0/0,0/0,0/0,0/0
7/17/2014,411/310,174/106,397/197,0/0,0/0,0/0,0/0,0/0
7/19/2014,410/310,196/116,442/206,0/0,0/0,0/0,0/0,0/0
7/24/2014,415/314,224/127,454/219,0/0,0/0,0/0,0/0,0/0
