Date,Guinea,Liberia,Sierra Leone,Spain,United States,Senegal,Nigeria
2014-03-20,0,0,0,0,0,0,0
2014-03-22,49,0,0,0,0,0,0
2014-03-30,49,7,0,0,0,0,0
2014-04-01,122,8,0,0,0,0,0
2014-04-02,127,8,2,0,0,0,0
2014-04-05,143,18,2,0,0,0,0
2014-04-07,151,21,2,0,0,0,0
2014-04-10,158,25,2,0,0,0,0
2014-04-14,168,26,2,0,0,0,0
2014-04-17,197,27,12,0,0,0,0
2014-04-19,203,27,12,0,0,0,0
2014-04-22,208,34,2,0,0,0,0
2014-04-25,218,35,5,0,0,0,0
2014-04-28,224,35,5,0,0,0,0
2014-05-02,226,13,5,0,0,0,0
2014-05-06,231,13,0,0,0,0,0
2014-05-08,235,13,0,0,0,0,0
2014-05-12,233,12,0,0,0,0,0
2014-05-15,248,12,0,0,0,0,0
2014-05-24,258,12,0,0,0,0,0
2014-05-28,281,12,16,0,0,0,0
2014-05-30,291,12,50,0,0,0,0
2014-06-04,328,13,79,0,0,0,0
2014-06-06,344,13,81,0,0,0,0
2014-06-10,351,13,89,0,0,0,0
2014-06-18,398,33,97,0,0,0,0
2014-06-22,390,41,136,0,0,0,0
2014-06-24,390,51,158,0,0,0,0
2014-07-01,413,107,239,0,0,0,0
2014-07-03,412,115,252,0,0,0,0
2014-07-08,408,131,305,0,0,0,0
2014-07-10,409,142,337,0,0,0,0
2014-07-15,406,172,386,0,0,0,0
2014-07-17,411,174,397,0,0,0,0
2014-07-19,410,196,442,0,0,0,0
2014-07-24,415,224,454,0,0,0,0
2014-07-27,427,249,525,0,0,0,0
2014-07-31,460,329,533,0,0,0,1
2014-08-04,485,468,646,0,0,0,4
2014-08-06,495,516,691,0,0,0,9
2014-08-08,495,554,717,0,0,0,13
2014-08-11,506,599,730,0,0,0,13
2014-08-13,510,670,783,0,0,0,13
2014-08-15,519,786,810,0,0,0,12
2014-08-19,543,846,848,0,0,0,15
2014-08-20,579,972,907,0,0,0,15
2014-08-22,607,1082,910,0,0,0,16
2014-08-27,607,1082,910,0,0,0,16
2014-08-28,648,1378,1026,0,0,0,17
2014-08-29,648,1378,1026,0,0,0,17
2014-08-30,648,1378,1026,0,0,1,17
2014-09-05,812,1871,1261,0,0,1,22
2014-09-08,862,2046,1361,0,0,3,21
2014-09-12,861,2081,1424,0,0,3,21
2014-09-16,936,2407,1620,0,0,1,21
2014-09-18,942,2710,1673,0,0,1,21
2014-09-22,1008,3022,1813,0,0,1,20
2014-09-24,1022,3280,1940,0,0,1,20
2014-09-26,1074,3458,2021,0,0,1,20
2014-10-01,1157,3696,2304,0,0,1,20
2014-10-03,1199,3834,2437,0,1,1,20
2014-10-08,1298,3924,2789,0,1,1,20
2014-10-10,1350,4076,2950,1,1,1,20
2014-10-15,1472,4249,3252,1,2,1,20
2014-10-17,1519,4262,3410,1,3,1,20
2014-10-22,1540,4665,3706,1,3,1,20
