Name,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-27,2014-09-28,2014-09-29,2014-09-30,2014-10-01,2014-10-02,2014-10-03,2014-10-04,2014-10-05,2014-10-06,2014-10-07,2014-10-08,2014-10-09,2014-10-10,2014-10-11,2014-10-12,2014-10-13,2014-10-14,2014-10-15,2014-10-16,2014-10-17,2014-10-18,2014-10-19,2014-10-20,2014-10-21,2014-10-22,2014-10-23,2014-10-24,2014-10-25,2014-10-26,2014-10-27,2014-10-28,2014-10-29,2014-10-30,2014-10-31,2014-11-01
Brazil,3.0,6.0,10.0,15.0,9.0,12.0,8.0,9.0,13.0,14.0,9.0,6.0,5.0,9.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,6.0,6.0,5.0,3.0,2.0,5.0,8.0,8.0,95.0,46.0,17.0,18.0,12.0,9.0,12.0,9.0,7.0,6.0,6.0,5.0,5.0,5.0,7.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
Chile,6.7,6.7,10.0,8.3,13.3,13.3,10.0,11.7,13.3,33.3,21.7,10.0,8.3,8.3,6.7,5.0,3.3,5.0,8.3,10.0,5.0,5.0,6.7,5.0,3.3,3.3,3.3,3.3,1.7,3.3,3.3,3.3,1.7,1.7,3.3,3.3,1.7,1.7,1.7,1.7,1.7,1.7,1.7,6.7,25.0,15.0,6.7,3.3,3.3,1.7,3.3,1.7,1.7,1.7,3.3,1.7,1.7,1.7,1.7,1.7,1.7,1.7,3.3,10.0,8.3,20.0,13.3,8.3,8.3,16.7,35.0,45.0,80.0,55.0,166.7,75.0,28.3,21.7,20.0,16.7,15.0,13.3,8.3,8.3,5.0,5.0,6.7,3.3,5.0,5.0,5.0,3.3,3.3,3.3,3.3
Panama,5.3,8.5,13.8,26.6,28.7,19.1,23.4,35.1,26.6,48.9,33.0,26.6,23.4,35.1,27.7,24.5,8.5,12.8,14.9,13.8,19.1,9.6,10.6,11.7,8.5,6.4,4.3,7.4,6.4,6.4,6.4,4.3,4.3,4.3,4.3,9.6,7.4,5.3,5.3,5.3,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,6.4,5.3,5.3,5.3,5.3,6.4,6.4,6.4,6.4,7.4,8.5,9.6,10.6,27.7,26.6,34.0,17.0,17.0,22.3,29.8,40.4,42.6,67.0,85.1,75.5,73.4,64.9,86.2,75.5,57.4,44.7,36.2,27.7,23.4,14.9,21.3,24.5,19.1,12.8,14.9,10.6,12.8,12.8,9.6,8.5
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2,0.0,0.0,105.9,76.5,76.5,105.9,70.6,76.5,88.2,94.1,100.0,147.1,300.0,588.2,282.4,182.4,117.6,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,0.0,20.0,21.4,21.4,22.9,20.0,24.3,27.1,40.0,48.6,25.7,22.9,62.9,44.3,65.7,37.1,58.6,48.6,28.6,51.4,37.1,41.4,24.3,31.4,30.0,34.3,22.9,28.6,31.4,54.3,50.0,25.7,18.6,52.9,51.4,30.0,27.1,31.4,21.4,31.4,27.1,32.9,47.1,27.1,41.4,27.1,30.0,32.9,21.4,71.4,142.9,92.9,41.4,41.4,47.1,52.9,67.1,40.0,40.0,41.4,42.9,27.1,27.1,20.0,35.7,68.6,100.0,62.9,54.3,62.9,64.3,131.4,125.7,78.6,72.9,87.1,85.7,71.4,75.7,58.6,47.1,55.7,45.7,32.9,50.0,35.7,41.4,34.3,52.9,24.3,21.4,21.4,32.9,25.7,25.7
Jamaica,18.2,24.2,30.3,33.3,21.2,21.2,18.2,24.2,30.3,39.4,18.2,18.2,18.2,21.2,15.2,15.2,15.2,15.2,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,12.1,12.1,9.1,9.1,9.1,9.1,24.2,15.2,30.3,87.9,45.5,36.4,112.1,227.3,266.7,215.2,154.5,109.1,130.3,124.2,118.2,118.2,112.1,97.0,87.9,100.0,100.0,127.3,303.0,206.1,106.1,115.2,63.6,72.7,66.7,60.6,81.8,60.6,48.5,48.5,33.3,45.5,30.3,33.3,30.3
Mozambique,0.0,0.0,17.5,26.3,36.8,45.6,50.9,45.6,22.8,43.9,52.6,36.8,35.1,36.8,61.4,175.4,105.3,47.4,35.1,59.6,33.3,40.4,31.6,36.8,28.1,26.3,26.3,22.8,26.3,36.8,43.9,40.4,36.8,29.8,42.1,15.8,35.1,19.3,19.3,17.5,29.8,26.3,21.1,28.1,19.3,21.1,22.8,22.8,17.5,17.5,17.5,15.8,17.5,19.3,19.3,0.0,0.0,0.0,0.0,0.0,19.3,15.8,15.8,15.8,15.8,15.8,0.0,0.0,0.0,38.6,42.1,24.6,24.6,35.1,45.6,43.9,38.6,26.3,38.6,33.3,35.1,36.8,93.0,131.6,89.5,64.9,77.2,61.4,52.6,57.9,50.9,36.8,31.6,31.6,29.8
Guyana,61.5,65.8,70.1,74.5,78.8,74.0,69.3,64.5,59.7,55.0,50.2,45.5,43.3,41.1,39.0,36.8,34.6,32.5,30.3,30.7,31.2,31.6,32.0,32.5,32.9,33.3,34.2,35.1,35.9,36.8,37.7,38.5,39.4,39.0,38.5,38.1,37.7,37.2,36.8,36.4,37.7,39.0,40.3,41.6,42.9,44.2,45.5,47.2,48.9,50.6,52.4,54.1,55.8,57.6,72.7,87.9,103.0,118.2,133.3,148.5,163.6,148.5,133.3,118.2,103.0,87.9,72.7,63.6,63.6,72.7,81.8,87.9,303.0,275.8,145.5,97.0,124.2,90.9,90.9,121.2,66.7,0.0,0.0,0.0,0.0,0.0,63.6,78.8,87.9,63.6,0.0,0.0,0.0,0.0,0.0
Paraguay,0.0,0.0,7.0,9.3,9.3,9.3,11.6,18.6,53.5,116.3,58.1,18.6,30.2,27.9,18.6,11.6,7.0,9.3,9.3,9.3,11.6,7.0,9.3,9.3,7.0,11.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,11.6,14.0,11.6,7.0,9.3,16.3,23.3,34.9,232.6,97.7,55.8,46.5,34.9,30.2,41.9,20.9,14.0,23.3,20.9,9.3,14.0,9.3,11.6,11.6,9.3,7.0,9.3,9.3,9.3,0.0,0.0
Norway,15.0,13.0,13.0,11.0,9.0,12.0,12.0,12.0,7.0,11.0,5.0,4.0,8.0,10.0,5.0,3.0,5.0,4.0,5.0,5.0,7.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0,7.0,6.0,7.0,59.0,65.0,28.0,28.0,23.0,20.0,20.0,15.0,17.0,17.0,18.0,16.0,12.0,11.0,14.0,10.0,9.0,7.0,8.0,6.0,5.0,7.0,7.0,4.0,5.0,5.0,3.0
