Name,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-27,2014-09-28,2014-09-29,2014-09-30,2014-10-01,2014-10-02,2014-10-03,2014-10-04,2014-10-05,2014-10-06,2014-10-07,2014-10-08,2014-10-09,2014-10-10,2014-10-11,2014-10-12,2014-10-13,2014-10-14,2014-10-15,2014-10-16,2014-10-17,2014-10-18,2014-10-19,2014-10-20,2014-10-21,2014-10-22,2014-10-23,2014-10-24,2014-10-25,2014-10-26,2014-10-27
Brazil,3.0,6.0,10.0,15.0,9.0,12.0,8.0,9.0,13.0,14.0,9.0,6.0,5.0,9.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,6.0,6.0,5.0,3.0,3.0,5.0,8.0,9.0,93.0,45.0,17.0,17.0,12.0,9.0,12.0,9.0,7.0,6.0,6.0,5.0,5.0,5.0,7.0,5.0,3.0,4.0
Chile,6.5,6.5,9.7,8.1,12.9,12.9,9.7,11.3,12.9,32.3,21.0,9.7,8.1,8.1,6.5,4.8,3.2,4.8,8.1,9.7,4.8,4.8,6.5,4.8,3.2,3.2,3.2,3.2,1.6,3.2,3.2,3.2,1.6,1.6,3.2,3.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,6.5,24.2,14.5,6.5,3.2,3.2,1.6,3.2,1.6,1.6,1.6,3.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,3.2,9.7,8.1,19.4,14.5,9.7,8.1,16.1,33.9,43.5,75.8,54.8,161.3,72.6,30.6,22.6,17.7,16.1,14.5,12.9,9.7,8.1,6.5,4.8,6.5,4.8,4.8,4.8
Panama,5.3,8.5,13.8,26.6,28.7,19.1,23.4,35.1,26.6,48.9,33.0,26.6,23.4,35.1,27.7,24.5,8.5,12.8,14.9,13.8,19.1,9.6,10.6,11.7,8.5,6.4,4.3,7.4,6.4,6.4,6.4,4.3,4.3,4.3,4.3,9.6,7.4,5.3,5.3,5.3,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,6.4,5.3,5.3,5.3,5.3,6.4,6.4,6.4,6.4,7.4,8.5,9.6,10.6,27.7,26.6,34.0,19.1,14.9,22.3,30.9,39.4,48.9,67.0,88.3,77.7,74.5,70.2,101.1,76.6,59.6,43.6,30.9,26.6,21.3,14.9,20.2,24.5,22.3,16.0,17.0
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2,94.1,94.1,100.0,100.0,100.0,94.1,76.5,82.4,82.4,88.2,94.1,123.5,247.1,588.2,300.0,158.8,105.9,58.8,58.8,58.8,0.0,0.0,0.0,0.0
Zimbabwe,0.0,20.0,21.4,21.4,22.9,20.0,24.3,27.1,40.0,48.6,25.7,22.9,62.9,44.3,65.7,37.1,58.6,48.6,28.6,51.4,37.1,41.4,24.3,31.4,30.0,34.3,22.9,28.6,31.4,54.3,50.0,25.7,18.6,52.9,51.4,30.0,27.1,31.4,21.4,31.4,27.1,32.9,47.1,27.1,41.4,27.1,30.0,32.9,21.4,71.4,142.9,92.9,41.4,41.4,47.1,52.9,67.1,40.0,40.0,41.4,42.9,27.1,27.1,20.0,35.7,68.6,61.4,40.0,37.1,35.7,40.0,88.6,98.6,52.9,44.3,70.0,50.0,47.1,48.6,44.3,35.7,50.0,34.3,24.3,34.3,27.1,27.1,24.3,30.0,20.0
Jamaica,18.2,24.2,30.3,33.3,21.2,21.2,18.2,24.2,30.3,39.4,18.2,18.2,18.2,21.2,15.2,15.2,15.2,15.2,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,12.1,12.1,9.1,9.1,9.1,9.1,24.2,15.2,30.3,87.9,45.5,36.4,112.1,227.3,266.7,215.2,151.5,100.0,127.3,115.2,112.1,115.2,109.1,87.9,78.8,106.1,90.9,112.1,303.0,203.0,118.2,124.2,66.7,63.6,54.5,57.6,81.8,54.5,45.5,42.4
Mozambique,0.0,0.0,17.5,26.3,36.8,45.6,50.9,45.6,22.8,43.9,52.6,36.8,35.1,36.8,61.4,175.4,105.3,47.4,35.1,59.6,33.3,40.4,31.6,36.8,28.1,26.3,26.3,22.8,26.3,36.8,43.9,40.4,36.8,29.8,42.1,15.8,35.1,19.3,19.3,17.5,29.8,26.3,21.1,28.1,19.3,21.1,22.8,22.8,17.5,17.5,17.5,15.8,17.5,19.3,19.3,0.0,0.0,0.0,0.0,0.0,19.3,15.8,15.8,15.8,15.8,15.8,19.3,21.1,22.8,22.8,19.3,12.3,22.8,26.3,31.6,24.6,28.1,15.8,22.8,21.1,15.8,21.1,52.6,87.7,49.1,31.6,47.4,52.6,36.8,31.6
Guyana,38.3,41.0,43.7,46.4,49.1,46.1,43.1,40.2,37.2,34.2,31.3,28.3,27.0,25.6,24.3,22.9,21.6,20.2,18.9,19.1,19.4,19.7,19.9,20.2,20.5,20.8,21.3,21.8,22.4,22.9,23.5,24.0,24.5,24.3,24.0,23.7,23.5,23.2,22.9,22.6,23.5,24.3,25.1,25.9,26.7,27.5,28.3,29.4,30.5,31.5,32.6,33.7,34.8,35.8,45.3,54.7,64.2,73.6,83.0,92.5,101.9,114.3,126.7,139.1,151.5,163.9,176.3,188.7,182.5,176.3,170.1,163.9,157.7,151.5,145.3,132.1,118.9,105.7,92.5,79.2,66.0,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
Paraguay,0.0,0.0,7.0,9.3,9.3,9.3,11.6,18.6,53.5,116.3,58.1,18.6,30.2,27.9,18.6,11.6,7.0,9.3,9.3,9.3,11.6,7.0,9.3,9.3,7.0,11.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,11.6,14.0,11.6,9.3,7.0,14.0,20.9,32.6,232.6,97.7,48.8,44.2,34.9,27.9,39.5,20.9,16.3,25.6,20.9,11.6,11.6,7.0,14.0,11.6,9.3,9.3
Norway,15.0,13.0,13.0,11.0,9.0,12.0,12.0,12.0,7.0,11.0,5.0,4.0,8.0,10.0,5.0,3.0,5.0,4.0,5.0,5.0,7.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0,7.0,6.0,8.0,54.0,62.0,27.0,28.0,24.0,21.0,19.0,15.0,15.0,19.0,18.0,13.0,12.0,12.0,14.0,10.0,7.0,7.0,8.0,6.0,5.0,7.0
